:)  13873 1
<3  9720 1
:-)  7082 1
:(  3387 -1
;)  3125 1
:D  3057 1
:/  3023 -1
❤  2409 1
☺  2018 1
😊  1777 1
xx  1736 0
xD  1377 1
😒  1307 -1
(:  1192 1
👌  1091 0
😔  1046 -1
😍  1032 1
♥  932 1
:3  925 1
😭  924 -1
😁  923 1
:P  920 1
xxx  821 0
…  820 0
😏  819 1
♡  795 1
😳  787 0
x  697 0
🙌  695 0
💚  691 0
😘  668 1
:p  631 1
:))  617 1
😉  590 1
:-D  555 1
😌  539 1
👍  528 0
X  493 0
>.<  471 0
:')  465 1
😜  463 1
;-)  445 1
💙  431 1
-_-  400 -1
XD  397 1
😝  392 1
😃  370 1
;D  365 1
:-(  344 -1
💁  341 0
🙏  327 0
✌  323 0
-.-  311 0
=^_^=  305 1
😄  275 1
:'(  274 -1
😭😭😭  260 -1
🙏🙏🙏  255 0
😢  249 -1
:O  242 0
^_^  237 1
Xx  227 0
X_X  217 -1
😍😍😍  206 1
😞  202 -1
😡  201-1
xxxx  194 0
>  192 0
o.O  185 0
😷  183 0
😪  182 -1
🎶  180 0
😍😍  172 1
😭😭  170 -1
👍😃  168 1
:o  166 0
D:  164 -1
Xxx  162 0
😠  157 -1
O_o  154 0
^^  154 0
>:(  152 -1
😣  149 -1
💪  147 0
:-/  140 -1
;-;  138 0
:^)  137 1
😥  129 -1
(;  127 1
xoxo  123 1
:)))  122 1
X3  116 1
😖  116 -1
💋  111 0
:((  110 -1
😱  108 -1
💗  107 1
😘😘  105 1
💜  103 0
🎉  99 0
:  98 0
xo  97 -1
💔  96 -1
👋  94 0
\o/  90 1
:s  90 0
-___-  90 -1
:v  89 0
😚  89 1
-__-  88 -1
:|  87 -1
😘😘😘  85 1
:DD  84 1
😓  82 -1
:S  81 0
._.  81 -1
O.o  79 0
😍😍😍😍  79 1
👎  77 0
=D  77 1
;_;  77 -1
😰  76 0
\m/  74 1
❤❤❤  73 1
-____-  72 -1
</3  71 -1
☹  71 -1
😨  70 -1
™  70 0
:`(  69
💛  67-1
😁😁  66 1
O_O  66 0
>:)  65 1
;(  65 -1
=)  63 1
^.^  62 1
Xo  62 -1
♥♡♥  58 1
)  58 0
/:  58 -1
;P  58 1
😁😁😁  57 1
=/  55 -1
✨  54 1
xxxxx  53 0
😊😊  51 1
://  51 -1
:))))  51 1
💅  49 0
o_O  49 0
♡♡♡  49 1
O.O  48 0
Xxxx  48 0
🎶🎶🎶  47 0
👽  47 0
😊😊😊  45 1
👍👍  45 0
x3  44 1
X15  43 0
🎀  43 0
😒😒  43 -1
💘  42 1
☺☺  41 1
(  41 0
:~)  41 1
⚾  40 0
>.>  39 0
:\  38 -1
=))  38 1
👻  38 0
:(((  38 -1
=P  38 1
🐶  38 0
♥♥♥  38 1
😍😘  37 1
👯  36 0
(•_•)  36 -1
❤❤  34 1
☀  34 0
XOXO  33 1
L  33 0
💤  32 0
🎧  32 0
•_•  31 -1
🎄  31 0
=\  30 -1
Xoxo  30 1
;))  30 1
💎  30 0
:-P  30 1
♠  30 0
:((((  29 -1
🍻  29 0
😃😃  28 1
🍴  28 0
👸  28 0
t_T  28 -1
😔😔😔  27 -1
😲  27 0
🌹  27 0
:]  26 1
👶  26 0
>_>  25 -1
;p  25 1
.__.  24 -1
😘😘😘😘  24 1
😡😡  24 -1
xxxxxx  24 0
🎵  23 0
😝😝😝  22 1
🏀  22 0
-_____-  22 -1
:-p  22 1
:-\  22 -1
█  22 0
😏😏😏  22 1
♥♥  21 1
>_<  21 -1
😡😡😡  21 -1
;o  21 -1
👼  20 0
😘😍  20 1
🎤  20 0
😔😔  20 -1
=(  20 -1
<333  20 1
n.n  19 1
🌸  19 0
💝  19 0
😔😒  19 -1
:-O  19 0
;3  19 1
<3333  19 1
:///  18 -1
🎓  18 0
<33  17 1
:[  17 -1
>:3  17 1
:")  17 1
💏  17 0
☺☺☺  17 1
*_*  17 -1
;/  17 -1
xoxoxoxo  17 1
.___.  17 -1
:)))))  17 1
>..<  16 0
(((:  16 1
👫  16 0
🎂  16 0
=]  16 1
😊😘  16 1
♥♥♥♥  16 1
:~(  16 -1
🏆  15 0
;___;  15 -1
